Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Australia,AUS,59.178,59.037,59.336,59.829,60.043,61.164,61.677,62.344,62.713,61.804,62.002,62.116,61.762,61.283,60.785,61.07,61.175,61.536,62.161,62.547,60.829,62.478,63.699,63.97
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Austria,AUT,55.957,55.905,56.1,56.323,54.575,55.139,55.833,56.892,57.557,57.109,57.348,57.559,57.672,57.535,57.164,57.113,57.426,57.703,58.297,58.514,57.648,57.2,58.441,58.453
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Azerbaijan,AZE,67.8,66.495,65.23,64.104,62.552,61.719,60.538,57.958,57.314,57.52,57.438,57.839,58.396,58.813,59.626,60.287,61.401,61.924,62.457,65.093,62.649,64.122,66.052,66.258
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Bahamas, The",BHS,69.662,69.977,68.371,66.898,67.292,67.298,69.289,68.959,68.516,63.731,63.523,63.37,63.718,61.907,63.58,64.789,64.215,66.344,66.178,66.128,59.661,62.192,64.611,65.182
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bahrain,BHR,65.161,65.61,66.143,66.573,66.835,67.149,67.677,68.442,69.355,70.317,70.944,70.286,70.609,70.671,70.197,70.03,70.434,70.961,71.398,71.493,70.08,70.448,70.881,70.928
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bangladesh,BGD,56.316,56.076,55.85,55.635,55.648,55.664,55.985,55.526,55.066,54.605,55.345,54.953,54.564,54.175,54,53.824,53.65,55.781,55.916,56.024,54.946,55.712,55.794,55.727
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Barbados,BRB,62.273,62.699,61.422,61.632,63.012,63.244,61.945,62.776,62.129,60.835,60.374,60.027,58.519,59.005,56.123,57.692,60.041,58.821,58.281,57.061,54.932,55.41,56.828,57.098
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Belarus,BLR,51.843,52.636,53.368,54.043,54.706,55.416,56.178,56.993,57.874,58.757,59.246,59.713,60.124,60.425,60.674,60.886,61.067,61.303,61.835,62.129,62.052,62.297,62.699,62.528
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Belgium,BEL,48.844,47.745,47.653,47.406,48.201,48.801,48.728,49.592,49.933,49.241,49.588,49.402,49.235,49.045,48.951,48.789,48.951,50.023,50.966,51.475,50.833,51.079,52.036,51.878
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Belize,BLZ,53.106,54.36,53.996,54.017,54.087,54.113,55.252,56.006,56.426,56.547,56.709,56.918,57.167,57.4,58.258,59.029,59.753,59.804,58.747,57.748,54.854,55.539,57.715,58.375
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Benin,BEN,71.209,71.244,71.255,71.224,71.208,71.164,71.163,71.176,71.211,71.183,71.118,69.975,68.969,67.989,66.895,65.608,64.276,63.001,61.818,61.811,61.073,60.015,61.478,61.824
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bhutan,BTN,68.555,68.39,68.459,68.55,68.128,67.763,67.683,67.226,67.078,66.94,65.887,65.233,63.08,63.426,60.963,61.593,61.231,60.867,60.503,64.555,64.418,65.774,65.75,65.324
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bolivia,BOL,68.336,68.195,68.196,68.149,68.163,68.163,70.849,69.165,69.943,69.978,70.174,70.36,67.2,67.609,69.928,64.994,65.002,66.125,69.273,68.081,64.175,64.614,67.436,68.117
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bosnia and Herzegovina,BIH,31.717,31.249,31.028,30.752,30.472,30.173,29.903,31.269,34.435,34.104,33.219,32.827,32.89,32.854,33.529,33.488,34.439,36.711,37.545,39.655,39.373,42.439,43.836,44.079
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Botswana,BWA,48.319,46.983,45.572,44.308,45.69,46.972,48.386,49.838,51.204,52.134,48.569,48.907,49.49,49.774,50.004,50.139,50.282,50.475,50.948,51.062,49.159,49.348,49.341,49.302
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Brazil,BRA,57.294,57.741,58.525,58.053,59.249,59.541,59.815,59.733,60.196,59.604,59.109,58.477,59.165,59.215,59.217,58.361,56.483,55.971,56.31,56.948,52.03,54.075,57.503,57.9
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Brunei Darussalam,BRN,63.96,64.115,63.909,63.702,63.494,63.284,63.078,62.87,62.661,62.448,62.242,62.038,61.418,60.789,60.156,59.057,57.965,56.884,59.701,59.944,58.909,60.62,61.509,61.467
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bulgaria,BGR,42.041,41.137,41.616,43.066,44.464,44.681,46.7,48.981,50.791,49.404,47.902,46.597,46.567,46.925,47.957,49.128,49.293,51.94,52.438,54.187,52.706,52.348,54.183,53.74
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Burkina Faso,BFA,75.601,74.79,73.908,73.205,71.842,70.648,70.037,69.503,68.521,67.508,66.687,65.761,64.895,63.856,62.812,62.605,62.481,62.406,62.353,62.279,61.402,61.65,61.958,61.835
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Burundi,BDI,79.957,79.209,78.436,77.549,76.788,75.854,74.952,75.76,76.578,76.863,77.146,77.297,77.45,77.603,77.713,78.11,78.436,78.635,78.749,78.682,77.778,77.903,78.127,78.132
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cabo Verde,CPV,52.214,51.964,51.783,51.527,51.586,51.535,51.52,51.524,51.44,51.204,52.812,52.644,52.546,52.406,52.224,52.091,52.019,51.936,48.798,50.454,46.756,47.563,50.361,50.893
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cambodia,KHM,76.481,75.769,75.009,74.252,73.451,72.661,71.841,70.999,70.53,69.901,68.956,68.264,67.481,68.779,69.833,71.245,72.176,73.741,74.863,75.952,75.189,75.772,75.851,75.624
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cameroon,CMR,75.871,75.871,76.435,77.055,77.692,78.178,78.711,79.229,77.316,75.261,73.097,72.231,71.369,70.475,69.555,69.532,69.483,69.391,69.297,69.207,68.315,67.944,69.146,69.294
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Canada,CAN,61.269,61.151,61.739,62.446,62.637,62.601,62.677,63.286,63.317,61.414,61.437,61.613,61.586,61.715,61.358,61.264,61.084,61.532,61.59,61.971,57.836,60.17,61.568,61.651
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Central African Republic,CAF,66.291,66.306,66.305,66.297,66.341,66.351,66.453,66.531,66.603,66.547,66.461,66.587,66.709,66.747,66.713,66.617,66.509,66.386,66.346,66.195,65.161,65.112,65.986,66.162
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Chad,TCD,68.542,68.076,67.62,67.174,66.725,66.242,65.722,65.145,64.588,64.091,63.614,63.088,62.584,62.035,61.534,60.985,60.408,59.83,59.292,59.243,58.308,58.251,59.557,59.739
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Channel Islands,CHI,56.09,56.839,57.199,57.28,57.052,56.928,56.714,56.545,56.78,56.24,55.813,55.173,54.646,54.254,54.316,54.579,54.791,54.98,55.144,55.11,54.056,54.108,54.472,54.444
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Chile,CHL,50.045,49.294,48.966,49.654,49.771,50.534,51.749,52.515,53.111,51.751,53.754,55.627,55.783,56.074,56.019,56.012,55.645,55.774,55.563,55.286,50.194,52.209,55.178,55.751
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,China,CHN,74.316,73.375,72.507,71.71,71.23,70.652,70.154,69.64,68.886,68.205,67.746,67.636,67.185,66.751,66.425,66.078,65.739,65.295,64.887,64.307,62.719,64.056,63.568,63.085
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Colombia,COL,53.752,57.467,56.956,58.524,57.54,58.113,57.453,56.734,56.929,58.869,59.601,60.563,61.29,61.048,61.095,61.276,60.495,60.01,59.134,57.708,53.285,55.388,56.497,57.334
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Comoros,COM,40.048,39.956,39.845,39.612,39.489,39.776,40.064,40.329,40.626,40.915,41.239,41.524,41.806,42.099,42.352,42.232,42.14,42.077,42.015,41.884,41.123,41.323,41.586,41.69
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Congo, Dem. Rep.",COD,70.066,70.088,70.181,70.318,70.407,70.439,69.414,68.374,67.328,66.24,65.178,64.104,63.065,63.091,63.12,63.101,63.022,62.926,62.873,62.847,61.715,62.089,62.685,62.816
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Congo, Rep.",COG,54.478,54.46,54.631,54.42,54.393,54.472,54.648,54.359,54.308,54.397,54.823,54.765,54.753,54.48,54.612,54.229,53.91,53.538,53.448,53.706,51.795,52.182,53.87,54.382
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Costa Rica,CRI,55.879,56.586,55.935,56.047,55.079,57.172,57.053,58.629,57.907,55.75,54.965,54.849,58.47,58.427,58.734,57.521,54.861,55.224,56.605,57.313,50.66,52.41,54.529,52.681
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cote d'Ivoire,CIV,61.901,61.605,61.351,61.073,61.046,60.981,61.018,60.811,60.758,60.628,60.635,60.197,60.162,62.065,62.719,63.13,63.52,62.61,62.871,63.128,62.377,62.434,62.773,62.872
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Croatia,HRV,43.852,43.527,43.469,43.29,44.163,43.368,43.715,47.685,48.589,48.233,46.47,44.748,43.187,42.07,43.307,44.198,44.597,45.825,46.875,47.717,47.198,47.84,48.66,49.327
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cuba,CUB,49.512,50.344,50.794,51.454,51.934,52.323,52.821,53.183,53.472,54.671,53.625,53.813,53.773,53.972,54.336,54.68,54.922,55.165,55.26,55.533,52.02,53.125,55.239,55.596
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Cyprus,CYP,57.281,59.236,59.823,60.558,59.995,59.85,60.652,61.856,61.853,60.309,60.248,58.734,55.948,53.249,53.489,53.004,53.325,54.823,57.178,58.514,57.936,59.036,60.686,61.134
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Czechia,CZE,55.109,55.113,55.409,54.797,54.268,54.653,55.029,55.643,55.932,54.772,54.186,54.351,54.547,55.16,55.686,56.419,57.553,58.48,59.197,59.16,58.265,58.155,58.57,58.552
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Denmark,DNK,62.604,62.44,62.837,61.944,62.502,62.479,63.359,63.213,62.685,60.263,58.579,58.151,57.45,56.887,57.015,57.469,57.957,58.122,58.649,59.239,58.522,59.388,60.591,60.534
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Djibouti,DJI,26.21,26.15,26.014,25.895,25.737,25.558,25.314,25.087,24.874,24.554,24.306,24.215,24.181,24.115,24.027,23.986,23.974,23.86,23.711,23.593,22.657,22.634,23.495,23.697
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Dominican Republic,DOM,54.748,53.121,53.667,52.7,53.268,52.889,54.063,54.258,54.849,52.436,53.755,54.618,55.436,54.914,55.53,57.291,57.904,58.734,60.033,60.88,56.66,58.306,59.743,60.348
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Ecuador,ECU,60.404,61.358,61.587,61.632,64.097,64.448,65.538,64.673,63.941,61.059,60.116,59.642,60.433,60.342,60.441,63.283,64.557,65.533,64.307,63.659,56.406,62.787,63.413,63.111
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Egypt, Arab Rep.",EGY,42.072,40.769,38.867,39.315,40.421,40.935,42.043,43.712,43.499,43.546,45.045,43.008,42.38,42.07,41.816,40.849,40.825,39.659,39.031,38.887,38.303,39.792,40.967,41.26
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,El Salvador,SLV,57.027,56.522,56.469,57.412,56.102,56.228,56.969,57.513,57.369,55.993,56.942,56.985,57.855,58.257,56.903,56.312,56.599,56.346,56.282,57.279,53.769,56.514,58.19,58.489
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Equatorial Guinea,GNQ,52.308,52.146,52.004,51.909,51.909,51.891,51.859,51.804,51.75,51.593,51.428,51.41,51.422,51.402,51.348,51.217,51.149,51.051,51.044,50.944,48.148,48.607,50.731,51.099
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Eritrea,ERI,75.422,74.724,74.089,73.556,73.117,72.583,72.613,72.639,72.818,72.865,72.903,73.218,73.528,73.799,73.844,73.941,73.721,73.627,73.599,73.427,72.142,72.222,73.433,73.703
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Estonia,EST,50.642,50.216,51.165,51.804,52.484,53.523,56.742,57.554,57.7,52.419,50.302,53.66,55.063,55.919,56.502,58.131,58.403,59.818,60.233,60.606,59.077,59.325,61.512,61.393
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Ethiopia,ETH,77.434,78.086,78.502,78.852,79.388,79.969,80.031,79.932,79.842,79.741,79.672,79.595,79.513,79.412,79.199,79.013,78.822,78.632,78.405,78.212,76.627,77.138,77.474,77.611
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Fiji,FJI,56.055,55.911,55.721,55.591,55.465,54.523,55.517,56.458,57.428,58.362,59.334,60.279,58.987,57.669,56.342,55.736,55.093,54.986,54.914,54.917,52.917,52.709,54.99,55.69
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Finland,FIN,54.186,54.969,54.908,54.694,54.321,55.635,56.273,57.006,57.525,55.449,54.822,55.198,55.111,54.256,53.821,53.381,53.414,53.761,55.03,55.421,54.414,55.201,56.321,56.384
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,France,FRA,50.007,50.721,50.863,51.722,51.238,50.982,50.946,51.496,51.926,51.193,51.03,50.858,50.724,50.838,50.339,50.258,50.303,50.404,50.603,50.622,50.162,51.46,52.07,52.29
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,French Polynesia,PYF,51.776,51.478,51.199,50.875,50.594,50.276,49.891,49.567,49.525,49.529,49.467,49.466,49.522,49.623,49.747,49.846,49.89,49.899,49.878,49.852,48.606,49,49.716,49.597
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Gabon,GAB,41.065,40.971,41.144,41.185,41.082,41.096,40.477,40.149,39.529,39.181,38.802,39.01,39.067,38.955,38.825,38.748,38.718,38.671,38.637,38.736,35.948,36.375,38.598,39.026
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Gambia, The",GMB,52.697,52.857,52.654,52.789,52.922,53.043,52.894,52.848,53.23,53.552,53.732,53.362,53.405,54.097,55.093,55.853,56.631,57.549,58.385,58.389,57.397,57.723,58.189,58.347
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Georgia,GEO,57.164,58.821,56.773,58.421,56.596,55.205,53.759,54.894,52.144,51.213,52.261,53.221,54.276,54.109,55.893,57.424,57.062,56.982,55.83,55.649,55.963,56.527,55.586,55.279
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Germany,DEU,52.909,53.014,52.414,51.714,50.768,51.894,52.917,54.028,54.785,54.793,55.232,56.593,56.838,57.194,57.402,57.39,58.487,58.915,59.209,59.976,58.309,58.346,59.375,59.779
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Ghana,GHA,66.806,67.118,67.477,67.896,68.293,68.655,68.987,68.49,68.135,67.624,67.28,67.775,68.189,68.481,66.572,64.534,65.537,66.814,66.832,66.826,66.02,65.842,66.495,66.372
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Greece,GRC,46.277,45.888,46.297,46.866,46.961,47.315,48.114,48.202,48.532,47.804,46.193,42.758,39.067,37.381,37.706,38.577,39.261,40.214,41.165,42.28,42.128,42.952,45.357,46.281
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guam,GUM,57.413,56.934,55.293,56.03,56.949,56.823,58.06,53.003,54.448,55.962,56.365,54.274,54.961,55.399,57.839,58.277,59.216,59.206,59.186,59.217,57.844,58.813,59.237,59.041
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guatemala,GTM,61.347,61.257,61.318,61.296,61.236,60.756,60.397,60.044,59.583,58.949,58.344,59.454,63.323,58.401,59.078,59.079,59.124,59.441,59.121,57.874,55.952,57.667,58.403,58.599
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guinea,GIN,61.318,61.396,61.489,60.789,60.082,59.34,58.667,58.144,57.505,56.749,55.998,55.364,54.904,54.188,53.438,52.678,52.199,51.69,51.059,50.225,49.202,49.239,49.763,49.9
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guinea-Bissau,GNB,54.994,55.217,55.107,54.963,54.864,54.807,54.758,54.692,54.611,54.553,54.504,54.524,54.449,54.401,54.294,54.323,54.321,54.323,54.227,54.144,53.358,53.704,54.126,54.207
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Guyana,GUY,50.554,50.344,50.065,50.078,50.074,50.043,50.107,49.857,49.589,49.268,48.929,48.665,48.38,48.07,47.724,47.362,47.06,46.783,46.532,43.309,41.821,41.994,43.804,45.431
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Haiti,HTI,57.467,56.839,56.207,55.675,55.049,54.511,53.968,53.706,54.4,55.26,55.609,56.275,56.491,56.862,56.809,56.873,56.793,56.841,56.814,56.585,55.031,55.387,55.772,55.764
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Honduras,HND,61.881,61.291,60.761,59.437,58.492,58.642,57.723,57.067,57.697,58.809,59.359,57.06,56.21,59.12,59.608,60.148,59.059,60.801,62.999,61.005,53.851,57.262,58.233,58.505
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Hong Kong SAR, China",HKG,57.685,58.303,57.329,56.528,57.14,57.587,58.338,58.765,58.713,57.573,57.01,58.016,58.51,59.139,59.045,59.116,58.98,59.213,59.558,58.898,56.241,56.31,55.695,55.278
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Hungary,HUN,46.071,46.043,46.117,46.816,46.499,46.554,46.899,46.727,46.18,44.957,44.761,45.008,45.715,46.615,49.283,50.785,52.606,53.711,54.417,54.927,54.3,56.91,58.227,58.468
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Iceland,ISL,77.024,76.769,74.938,74.55,73.553,73.994,74.779,75.432,74.237,69.487,69.231,69.03,69.869,71.015,72.607,74.087,75.668,75.064,74.093,72.878,69.491,68.942,71.487,72.12
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,India,IND,52.71,52.143,51.572,51.01,50.447,49.886,49.947,50.008,50.065,50.126,50.187,49.633,49.073,48.933,48.77,48.568,48.3,48,47.681,47.908,46.485,47.887,49.825,52.756
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Indonesia,IDN,63.64,63.048,61.625,61.296,60.876,59.287,59.362,60.892,61.585,62.014,62.845,63.464,64.406,63.863,63.922,63.577,63.459,64.169,64.68,65.79,64.536,63.347,64.701,65.385
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Iran, Islamic Rep.",IRN,38.987,38.924,38.947,39.743,40.527,40.074,39.436,38.958,37.035,37.239,35.909,34.995,35.583,36.243,35.933,36.731,37.215,38.391,38.663,38.998,36.982,36.805,38.587,38.886
